sentences_author;label
this was not mr. cohen's best editorial but he does have to produce them on a timetable.;neutral
you helped create this mr brooks.;negative
now … i thought gail sought out “conversation” partners who disagreed with her on political matters.  gail, for instance.;negative
 instead of yet more prose arias denouncing the great villian, and blaming racism and the russians for his election, perhaps mr. krugman and democrats in general should try to address the economic crisis of the american working class  that moved these voters to support such a demagogic president. <br/>mr. krugman is an economist.;negative
<br/><br/>i guess douthat was happier with ratzinger.   a disaster for right wing conservatives like douthat and steve bannon.;neutral
"mr. douthat tries to make a nuanced argument that the russian hacking operation of democratic national committee emails remains a scandal worthy of attention, but the russian facebook and twitter campaigns were 'ludicrous' and close to ""fake news"".";negative
dear mr. bruni,<br/>it is possible that your partner, tony, is reading some of your readership comments, and this 'squinter' here is feeling tempted to give you a scold.;negative
<br/><br/>and he could have added nicholas kristoff for good measure.;neutral
  i agree with gail, trump's tariffs were aimed at the pennsylvania election and meeting with kim is to divert attention from his involvements in russia and, uh, in, stormy daniels.;positive
thomas friedman expresses the feeling and thoughts of many of us these days, and i don't think it could have been expressed any better than mr. friedman has done. thomas friedman expresses the feeling and thoughts of many of us these days, and i don't think it could have been expressed any better than mr.;positive
"""<br/><br/>from your lips to god's ears, mr. brooks.";positive
i find it interesting and hypocritical that ms. renkl still drove to the park on that abnormally warm president’s day even though she is well aware of anthropogenic climate change.;negative
"one change, please, mr. blow -- make that ""our buffoonish, so-called 'president'.";neutral
 douthat's prose pretty much buries the fact that this guy has great antipathy for non-european immigration.;negative
don't be depressed mr krugman.;positive
brooks constant whining about how we don't respect trump supporters is getting beyond tiresome.;negative
oh gail, it's refreshing to be able to have a little humor about this.;positive
paul krugman, thank you.  you're alone in accurately portraying paul ayn ryan.;positive
"  judge for yourself if paul krugman learned from him<br/><br/>2013:<br/><br/>1) ""this princeton health economist thinks obamacare’s marketplaces are doomed""<br/><br/>""of all the people i spoke with, princeton university health economist uwe reinhardt offered the most dire and pessimistic assessment of the marketplaces' future.";neutral
enjoyed this column, ms. collins.;positive
thank you, maureen dowd, for capturing, so succinctly, dt’s despicableness.;positive
"the ""alternate political order"" to liberalism that douthat is so desirous of hearing about is called fascism.";neutral
""" based on what evidence david, your ""feelings?";negative
brave editorial mr. stephens as you knew the denizens of the left who peruse these pages would not take kindly to your well written article on the numerous past failures and atrocities of the united nations.;positive
ross douthat is spectacularly uninformed (or biased) about french political life.;negative
<br/><br/> edsall's analysis, unfortunately, helps explain the further decline of congress.;positive
"<br/><br/>in this general vein bret seems unable to write on any topic without some casual maureen-dowd-like derogatory snark against ""the left. i do not know a great deal about french politics or french labor regulation, so i will do bret and the readers the courtesy of not pretending i do.";negative
dear michelle, at the end of your article you give us a choice, disloyal or clueless.;negative
dear maureen:<br/>i reflected yesterday in regards to an advise i was about to give and found than when we adults confront a choice we must decide between what we want, what is right, or what must be done.;neutral
  i never would have dreamed that in the face of so much that has been momentous, awful and, to me, incomprehensible, mr. brooks would choose to look down upon the women's march. <br/><br/>if mr. brooks was going to write about this, i wish he would have participated in a march and listened to many in the incredibly diverse crowd we had, at least here in seattle.;negative
for you, mr. bruni, a little bit of connell and for keeping our spirits bright when  uneasy:  'mr.;positive
"""<br/><br/>words are deeds brett.";neutral
ross:  thanks for the link to the chait article.;positive
david turn blue today going after gop favorite, tom cotton.;neutral
"prof. krugman doesn't get it when he write "" many jobs disappearing even as still more new jobs are created""<br/><br/>the economic reality is<br/><br/>many good paying jobs disappearing even as still more new, low paying service jobs are cr manufacturing created.";negative
 but its flaw in editorializing and reporting is not in commission but in omission of facts and points of view inconsistent with its brand<br/><br/>having a public editor may help in caching errors of reporting commission but is useless in protecting against the real problem at the times, errors of omission of relevant facts and observations that are inconsistent with the times' tendentious narratives.;negative
  glad to see that mr. brooks is on board.;positive
"dr. krugman and readers:<br/>1) the use of unprecedented levels of earnings and tax cuts being used for stock buybacks is a ""play it safe,"" very defensive managerial strategy.";neutral
"it's good to see that roger at least seems to admit that the current war on the president is a coup d'etat as well as an agitation &amp; propaganda operation.  <br/><br/>roger has such a trenchant sens of humor one might accuse him of not being a solid-enough progressive.  when these dolts finally cannot contain their well-taught anger, will roger do like some nitwit members of congress and tell the rioters they are doing the right thing?";positive
mr. bruni - trump's entire cabinet and leadership team is chock full of people with shoddy stewardship.;neutral
"it is astonishing the way douthat characterizes souter as a 'betrayal' rather than considering the fact that he was actually a non-political, non-activist, jurist who followed a rational judicial philosophy of *interpreting* foundational constitutional concepts under new conditions. <br/><br/>douthat *really* seems not understand what the court is suppose to be (indeed what the garland nomination was and the gorsuch appointment isn't)<br/><br/>and to simply dispense with the disgrace of last year with the simple phrase ""pocket veto""?";negative
  written with a passion suggesting mr brooks's mid-life crisis may match america's, of which he writes.;neutral
"while i'm no fan of president trump, mr krugman's assertion that president obama ""decided not to start something"" is patently false.";negative
<br/>i share david's nostalgia for the old days but not his faith in organized religion.;neutral
  this time in our country may be bad for the country and bad for us, but david brooks is doing the best thinking and writing of his career.;positive
i love how friedman thinks.;positive
<br/><br/>trump is right, and krugman is - as always - very full of himself, and also full of baloney.;negative
  what's really going on when people talk  - as krugman does here - about stock buybacks?;neutral
"it wasn't possible to get thrugh mr. brooks' otherwise-thoughtful and reasoned essay given his repeated use of the word ""myth"" that drove me to that part of its definition: ""a widely-held but false belief or idea"".";negative
<br/><br/>thank you, my brooks for speaking the truth - seeing trump's  motorcade.;positive
gail, may we talk about my favorite trumpster, rick perry ?;neutral
 friedman and dowd have been recycling their own material for decades, and with the exception of leonhardt and spayd (by necessity) no new blood in years. <br/>and this column is yet another in a series of spayd offerings uninterested in issues of journalustic integrity, but which might as well be an offering from the times' pr department.;negative
<br/><br/>even one of the scandals listed by mr. blow would have had the republicans throwing president obama out of office, yet they give the most obnoxious man every to inhabit the white house a pass.;neutral
welcome matt labash!  you make a fine complement to gail, and a funny one to boot. <br/><br/>can you and gail discuss that next week?;positive
go charles!;positive
""" may the ny times, and mr. blow, escape further politicization.  we know what every column written by charles blow will say: that trump is b-a-d because of _______ (fill in the blank for this week's issue).";negative
 mr. blow spells out the situation we are in with clarity.;positive
 the storyteller (in this case, mr. bruni) needs an exciting topic, and he or she picks up lots of ideas from recent newspaper articles.;neutral
i like where david takes us here.;positive
 the white house is now in obvious panic over the trump/russia investigation, and as mr. bruni documents the republican party is clearly trying hard to prevent a true inquiry.;neutral
where does mr. stephens think republicans like ben sasse should go?;neutral
")  but, paul if you ever hope to get enough people back on your side, where you can help those who aren't forgetting they put $100 million under the mattress, you are going to have to drop thinking of yourself as something special because you know basic education terms. (fyi - i voted for bernie!)  paul, this is the kind of behavior that elected trump --- ""she doesn't know basic education terms.";negative
bravo charles.;positive
  <br/><br/>i hadn't thought of the assault we are facing as one that is against a sense of community, but maybe krugman is onto something.;positive
 c'mon, david.;negative
pity maureen dowd's plucky attempts to re-enter the halls of while dragging the weight of hillary's ghost along behind her.;negative
thank you mr. blow for your fervor.;positive
 when the christ returns (as many conservatives believe he will soon), douthat is in for a great shock - jesus is the king of liberals. <br/>douthat seems to have lost it these days.;negative
thank you, professor krugman, for recognizing trump's airstrikes in syria for what they are: a distraction.;positive
 <br/><br/>please stop, mr. douthat.;negative
  however, it is a good starting point, given that religion is a much more important  cause of divisiveness in this country than diverging theories of governance brooks refers to here.;neutral
for once, i agree with brooks.;positive
well said mr. brooks.;positive
"  mr. kristoff, we have been very ""liberal"" (if that's the word) toward limbaugh, hannity, and their ilk, and what has it gotten us?";neutral
cohen ignores the current reality.;negative
frank you are being so pedantic here!<br/><br/>so much of trump's chaotic personality and general incompetence stems from his self-absorption over being the most macho, most intelligent, most handsome man on the face of the earth.;negative
" it answers, point by point,  the oxymoron and disingenious arguments made by the  nra!<br/>kristof should have added the utter folly of owning assault weapons (like ar-15) and limitless cases of bullets;for what?";neutral
 - after all, what krugman says isn't new.;negative
the social revolution for which brooks was long an apologist can be summarized as ''greed is good.;neutral
i don't put david brooks in the main hall of anti-trumpers.;neutral
well said, frank.;positive
paul,<br/><br/>as i read your spot on analysis here, i couldn't help but wonder where we're at right now as far as subsidies.;neutral
<br/><br/>today, mr brooks, you read like the 'crazy vicar' version of your self.;neutral
"  maybe mr. douthat should be reminded of that gospel quote: first remove the beam out of your own eye, and then you can see clearly to remove the speck from your brother's. i hope mr. douthat's next column is about all the ""consistently ad hominem"" (and worse) attacks being flung at the parkland survivors, and how senator rubio might earn some political goodwill by denouncing the hateful lies being spread about these grieving young adults.";negative
"really looking forward to mr. brooks' next three articles: ""let the klan be the klan!"" ""why not white pride week?";neutral
i almost always disagree w/ you, mr. douthat, but i generally give you credit for having a cogent point of view.;negative
this cohen-piece is quite incredible.;positive
hooray for you, friedman.;positive
"""<br/><br/>i agree with mr. blow's assessment, which is why trump and trumpism must be resisted (and replaced).";positive
"thank you mr. kristof for reminding us that the word ""we"" means not just our close circle or even just one country.";positive
 pence would pursue the policies mr. blow describes in this op-ed with even more vigor.;neutral
"4% (9/166) consider themselves ideologically conservative, while 12% (20/166) say they are somewhat conservative”<br/><br/>the 13k members also have a professional bias on 45s policies (hint: they don’t like them):<br/>•	on president trump's decision to end the deferred action for childhood arrivals<br/>•	on impact of president’s 2018 budget request on political science<br/>•	on proposed changes to visa applicant disclosure requirements<br/>ms. collins can opine on anything, but interjecting “expert surveys” is going for truthiness &amp; then it is fake news.";negative
paul: please never stop calling it like you see it.;positive
gail, console yourself.;neutral
mr. stephens nails trump's penchant for freudian projection.;positive
" they are deeply immersed in illusions and dream images; their eye only glides only over the surface of things … their feeling nowhere leads into truth, but contents itself with the reception of stimuli, playing, as it were, a game of blind man’s bluff …<br/><br/>mr cohen: to analogize trump's presidential actions to the reichstag fire is a game of blind man's bluff. shall we read how a great mind responds to the conventional wisdom of roger cohen?";neutral
"the picture accompanying this 2/10/17 roger cohen column (doug mills/the nytimes), shows ""president trump in the oval office this week"".";neutral
" alas, if these policies were advanced by hillary clinton or bernie sanders i sense that mr. brooks would find them ""divisive"" and i know that fox news et al would find them ""socialist"".";neutral
 yes, brooks, will, beck, sykes, kristol.;positive
although bruni bemoans 'that' replacing 'who', he does it using one if my grammatical peeves.;neutral
mr. kristof,<br/>i look forward to your articles for many reasons, but chief among them is your admirable attempt to remain balanced.   they may be decent men, but please, mr. kristof, do not extend your graciousness to men like mnuchin and gorsuch who do not belong in the positions to which trump has nominated them.;positive
" stephens doesn't like ""tedious criticism"" from ""the environmental left.";negative
"mr. kristof: i am trying to reconcile your recent column- ""trump voters are not the enemy""-- with this opinion piece.";neutral
brooks is right to suggest the possibility of a cancer lab as the right place for an historian to be.;positive
 sorry charles educate us on other things, not instigate.;negative
mr. kristoff.;neutral
  i'm not going any further because i've heard brooks several times on tv, namely the charlie rose show and i find him to be overly conservative.;neutral
dear david brooks,<br/><br/>having been pregnant 3 times and having two children let me explain something to you.;neutral
thomas,   well said,  the individuals you name ought to consider what history will write about their tenure with the trump presidency.;positive
<br/>fight trump,yes,but don't turn the american<br/>people against you in the process and guarantee him a second term.<br/>mr.blow's approach, though it may feel good,<br/>is precisely what got mr. mr. blow's level of unbridled vitriol<br/>is truly repugnant and i am sincerely surprised<br/>that the new york times,which rejects comments<br/>from readers for far less rancor, allows it.;negative
i am not going to argue with paul krugman's assessment of the boilerplate gop agenda that trump has put forth instead of effective new non-swampian ideas.  first a significant portion voted for trump because they figured h would go along with congress and paul ryan.;neutral
"this article does a lot right, but brooks' characterization of nietzsche and ""nietzscheans"" is vulgar, one-dimensional, and unfair to the many influential and compassionate thinkers who owe a great debt to nietzsche's thinking.  david brooks, you should know better.";negative
thank you nicholas, for your always thoughtful articles.;positive
another thoughtful, fact-based well-reasoned column by mr. kristoff that will go absolutely nowhere with the no-gun-regulations crowd.;positive
"kind of secondary to the main thrust of professor krugman's column, but it is important to emphasize that whatever does go wrong, the ""presidential apprentice"" is most likely to make it worse.";neutral
well written, david.;positive
  <br/><br/>somehow, mr. brooks wants to equate what he seems to think is excess on the part of anti-trumpers with the dangerous lunacy of trump himself.;neutral
thank you, mr. kristof, for standing up and speaking out.;positive
  david has the luck of being in a liberal city that attracts the best and brightest. <br/><br/>but that ain't america, david.;negative
<br/><br/>again, i agree with mr. blow, those currently occupying the whitehouse are a pack of thoroughly miserable human beings. <br/><br/>on the other hand, mr. blow offers some clear language about people who lie with solemnity.;positive
"i'll shorten the key sentence for you, ross: ""everything his party promised you  was a sham.";neutral
thanks for putting this controversy in perspective charles.;positive
<br/><br/>ross, your immodest proposals are a throwback to the past, but the scenario you seem to be engineering was fragile to non-existent then.;negative
excellent article david, but you really have to get out more.;neutral
""" cute turn of phrase, but completely misses the mark, as do mr. douthat's conclusions that we are entering a period of ""stasis.";negative
bret stephens is a smart guy but he's really failed to grasp the issue when it comes to risks from climate change and the effects of man made carbon gases accumulating in the atmosphere.;negative
 contrary to mr. douthat's assertion, the carrier deal is not a policy, it was a publicity stunt.  contrary to mr. douthat's assertion, the cabinet is not reasonably competent, and they are working toward common goals.;negative
i am thankful ross has surveyed most genres of pornography (excepting, apparently, tentacle) and still has the energy to steer the #metoo movement into the welcoming bosom of faith institutions renowned for respecting women and the concept of sexual consent.;positive
thoughtful piece by mr. brooks.;positive
paul, if you wanted expertise trump has it among his closest white house allies.;neutral
<br/>3) please protect us from gail collins's fantasy of hillary 2020!;negative
  sorry, david, but a lot of these higher costs are thrust upon middle income earners and the young.   david seems to shrug this off with the claim that this is only from taxes on the corporations and the wealthy.;negative
it is remarkable how many of the commenters are associating douthat's concerns over liberalism with the specifically post-war american version of liberalism and then get defensive thinking he is attacking their views.;neutral
brooks is correct in asking that students take more coursework in history.;positive
 and,i have always admired mr. cohen but now he is no longer the voice of sanity.;negative
"</a><br/><br/>now, why would mr. krugman state "" republican foot-dragging on chip,  isn’t about the money, it’s about the cruelty ? <br/><br/>here is one possible answer from a former public editor of the new york times<br/><br/>daniel okrent noted ""op-ed columnist paul krugman has the disturbing habit of shaping, slicing and selectively citing numbers in a fashion that pleases his acolytes ""  <br/><br/><a href=""http://www.";neutral
"thanks, david, for a delicious momentary detour from the reality of all that ""president donald t.";positive
<br/><br/>so good luck to mr douthat and those of similar inclination.;neutral
ms. greenhouse's article seems a little silly.;negative
 you will be surprised at how many trump voters will start seeing things your way if you stop expecting an apology from them. <br/><br/>and, as krugman says, many of them will claim to have been clinton or sanders voters by 2018.;neutral
  mr. brooks implies that young marriages should pull themselves up by their bootstraps, but others see our material/celebrity culture as the problem. mr. brooks, while often creative in his perspectives, rambles, but maybe it takes one to know one.;negative
<br/><br/>so, mr. bruni has to turn on his mocking mode, which is ineffective at best and rumsfeldian at worst. frank bruni is good ( the best among nytimes columnists ) to read through trump's presidency, until.;neutral
"reading frank's column today reminded me of the expression: ""people don't know what they have until they don't have it.  more important to the story, frank took us on his journey beyond the overwhelming sense of loss, to accommodation, and after talking with people further down the road than he with a similar condition, realizing that with loss can also come gains in growth and wisdom.  <br/><br/>frank is superb writer, and today's column walked us through his frightening experience.";positive
 i might not like his decisions, but i understand them.<br/><br/>one thing david said was striking: “far from being a fighter, trump tends to back off when his plans face resistance, like during this week’s budget showdown. i agree with david’s assessment.;positive
ross, you have always argued for moral/religious underpinnings as a necessity.;neutral
 since that includes just about every republican candidate and office holder, i agree with mr. blow, that sliver of the nation is beyond the pale. <br/><br/>like mr. blow, i shut my ears to any politician who does not condemn racism, sexism and religious bigotry.;positive
mr. cohen says: “palestinian belief in two-state compromise has also eroded over the past two decades.;neutral
gee david, for such a mild mannered cherubic demeanor, you write like a lover scorned, a lover of democracy, and decency.;positive
 a pretext that paul even admits by his lambasting of trump’s and republicans’ agendas, and his admission that it’s all innuendo and smoke.  and we’re asked to forget the million words or more offered up by paul krugman and the editors of the new york times over the years, that are offered to this very day, for why republicans and in particular donald trump are the very incarnation of satan on earth.;neutral
"i regret not hammering at this point during the campaign, when exactly this amunition would've helped crystalize egan's message:<br/><br/>the 2016 election's context was the 2008 economic meltdown created by wall street turning our economic system into a ""casino,"" &amp; one in which the taxpayer would underwrite the banksters' wagers so in effect they could never lose.";neutral
<br/><br/>i appreciate the humor in all of ms collins writing even laced as it is with much less laughable truth.;positive
"ms. goldberg's conclusion is:<br/><br/>""on the one hand, they act like idiots.";neutral
charles, please try to not make it about race ---- the entire mid section has been placed under extreme stress, from detroit downward.;negative
  it's getting old, charles.;negative
january 16, 2018<br/><br/>the preservation of new york times readership begins and is forever with this king of article by dr. krugman - we know what we know and aren't afraid to tell it like it is -and so with a breath of insight we can recover from the avoidance distraction of life be for entertainment and free for all rage - but best as always we learn from history and then take responsibility for maturity in the citizenry as a pledge of allegiance to what is forever american truly the best for all  to be greater to the sum of the parts enlightening from cradle to grave then earned heavenly eternal life.;neutral
you're straining to find a sensible middle ground, david.;positive
"ms. greenhouse writes, parenthetically, that calling on ginsburg to retire had ""nothing to do with her sex, i’m sure.";neutral
another brooksism -- the importance of decentralization.;neutral
sometimes it is just hard to take brooks seriously.;negative
bravo brooks!  comment that incites meaningful debate.;positive
ms. dowd,<br/>you have a way with words like no one else.;positive
mr. cohen reads too much into the french election and projects changes to the european union which it is structurally unable to meet.;negative
 as roger cohen correctly states, it is too little, too late.;neutral
" ""<br/><br/>we'll see if david (and the rest of the nyt) follows his own advice.";neutral
  <br/><br/>now david sees the dying corpse of a once deified corpus of thought that he so eagerly fortified with his formidable intellectual talents,  yet still remains baffled by the cause of death.;positive
derek black came to my mind while reading this piece, mr brooks.;neutral
<br/><br/>moreover, methinks mr. douthat needs to go back and read the constitution, and in particular the bill of rights, if he believes that a woman's bodily autonomy should depend upon what state she lives in, or a gay man's right to establish a family with whomever he pleases should be left to the whims of the majority through referendum.;negative
"douthat twice calls the senate's action on garland a ""pocket veto"".";neutral
it did not occur to me that the kinds of scenarios and chaos envisioned by kristof could actually occur in the united states.;neutral
nicholas has identified an age old problem: bias and prejudice aren’t amenable to fact or logic.;neutral
mr. bruni, i am a somewhat straight white guy who turned sixty last year.;neutral
gail, i am in state of astonishment because the focus of the anger of those that voted to hc should be to the d establishment, yes, schumer and pelosi and their sycophants.;neutral
 as an ordinary citizen i would never challenge mr. brooks' erudite political insights.  mr. brooks, where were you then? maybe i missed it, but i have yet to see mr. brooks offer a full throated apology or even an acknowledgement that he was complicit in the rise of the republicanism that brought us to trump.;neutral
 face it mr blow, they fight dirty, they fight effectively and they are not effected or impacted by doing what is in america's best interests and more importantly the people's, for that reason they have outfought ust every step of the way and dominated local and state elections and made working class and economically struggling white americans believe that these tools of the uber rich are their saviors.;neutral
we are waiting for you, david, to give some answers to the last paragraph.;neutral
the profound truth in roger cohen's op-ed literally gave me chills.;positive
mr. brooks, i have not always agreed with you but i have always respected, and enjoyed, your writing.;positive
could not agree more mr. bruni!;positive
mr. krugman answered his own question in the first few paragraphs.;neutral
<br/>krugman has the resources and intelligence to curtail the assault on democracy, western capitalism, and peace.;positive
<br/><br/>keep up the good work mr. stephens.;positive
"friedman notes that ""the brexiters and trumpsters want to return us to a globe of everyone-for-themselves nationalisms that helped to foster two world wars.";neutral
”  <br/><br/>brooks condemns facebook but fails to note that fb is only doing what comes naturally in an unfettered free-market system – seeking profit in any way possible, damn the social consequences.  <br/><br/>it’s what mr. brooks leaves out that thunders above his conservative flight of fancy.  but, brooks doesn’t mention capitalism’s refusal to honor the social contract as one of the subjects that didn’t come up in the zuckerberg hearings. and now - another chapter in: “the world according to mr. brooks.   just make up a story! <br/><br/>so put on a mr. brooks happy face! and have another glass of mr. brooks’ kool aide!;negative
ross -- just read the comment ( in quotes below) and ask yourself if pence ryan and  mcconnell have the spine to disagree with this brainwashed trump voter.;neutral
<br/><br/>so tom friedman if telling the truth about hillary clinton and her campaign benefits trump your axe to grind is with hillary and her campaign.;neutral
mr douthat needs to step out into the real world.  i am sure ross is well intentioned in his mansplaining about why us women folk shouldn't worry about regressing to gilead.;negative
charles blow is right on.;positive
dear mr. brooks -<br/>   the democratic and republican parties have betrayed both us and what they should stand for.;neutral
a gallant effort mr. nicholas but i fear a waste of time.;negative
maureen,<br/>after so many plate appearances without a hit, it looks as though you have finally found a new swing, or a new bat.;positive
  douthat’s fantasy serves merely to mask that simple, damning truth. saying that obama’s executive order on dreamers was “smash-mouth” politics, and thus just like republican politics under trump, is both factually false, and precisely wrong in political and moral terms.  for all his pose of reasonability, douthat is a standard-issue republican in his projection of his party’s sins onto their political opponents. <br/><br/>douthat may sincerely want to believe that there is a rump of reasonable republicans, composed of people like rubio and ross douthat, who are an alternative to the extremists who dominate the republican and democratic parties equally.  his nominally anti-trump stance is really only a clever rhetorical sleight-of-hand, giving cover to republicans such as rubio who, as douthat admits, are basically all-in trumpists.;neutral
" by my reading of these comments i see much of the "" brooks is a hypocrite "" narrative because the founders slaughtered, neglected, marginalized those not inside their tribes.";neutral
david brooks is wrong on a bunch of stuff, but is becoming a breath of stale air for this country.;neutral
"what about the ""carelessness"" of leading figures like david brooks that promoted trump as something he was not--competent.";negative
maureen, where were these pointed comments when it could have made a difference, before the election?;negative
"so the ""mutiny"" that mr blow has in mind would involve only gop members of congress?";neutral
thank you maureen dowd for putting the past week 's insanity so succinctly.;positive
"mr. brooks seems to think that there are identical ""clan"" factions that are similar in both parties.";neutral
"i regret that i have concluded that mr. douthat is not capable of hearing the voice of pope francis.   this is especially true with respect to sexual conduct; hence mr. douthat's obsession with divorce and remarriage.   ross's wants a catholic church that makes it easy to separate the righteous and saved from the sinners and condemned.   conservative catholics like mr. douthat do not entirely ignore that message, but to them it has always been secondary to an deep-seated need for an authoritarian church that draws strict rules governing personal conduct.   given mr. douthat's vision of the church, it is easy to understand why he is disturbed by pope francis.";neutral
the youth of europe will not remain young forever and douthat will lose his bet on “continued stasis.;negative
brooks here seems to be agreeing with roy moore’s claim that america “was great at the time when families were united — even though we had slavery.;negative
""" frank, you're 23 years too late: <a href=""https://www.";negative
krugman phones it in.;neutral
gail:<br/><br/>i wish i was amused by this opinion piece which, given your writing, i usually am.;neutral
 i am deeply disappointed that the ny times published these images and i feel strongly that the explanations of ms.spayd and mr.;negative
paul ryan could use a course in basic arithmetic.;neutral
  would brooks want to say conservatives have zero moral authority?;neutral
" <br/><br/>the constant ""we're number one"", ""we're special"", ""we're the only truly good people"" chest pounding of american conservatives like brooks is frankly laughable.  as for david .";negative
 for god's sake, david brooks, stop! mr. brooks, the country's in a profound political crisis and you've written yet another sanctimonious tract about what national myths we need to revive.;negative
"dr. krugman has scoulded the euro and the financial policy of the eurozone several times, and keep presenting spain as a ""victim "" of the euro - which underpins perfectly the narrative that spanish (and greek) politicians want to push - and i for one truly resent that.";negative
wow! what a complete miss from maureen.;negative
way to go, mr. friedman! kudos! and i for one care very much.;positive
"entertaining column maureen, even as it sent me to merriam webster to check out your ""fake"" words.";positive
 c'mon ross.;neutral
mr. friedman, don't be condescending to cameron.;negative
keep writing dr. krugman, keep writing.;positive
jennifer, this is really funny.;positive
  fortunately, mr. blow reassures me that someone is.;neutral
charles, thank you for your inspiring, truthful words.;positive
that right ross.;positive
excellent, mr. egan, excellent.;positive
i'm currently traveling in the american south (currently texas) and had to smile upon reading mr. krugman's reference to anti-intellectualism.;negative
terrific column, mr. bruni, but i suspect your hope is false or at least longer than a 10,000 to 1 shot.;positive
"""this disaster of administration is what you get"" charles you need a realty testing.";negative
"""<br/><br/>mr. egan, that is the best summary i have read of the president's intellectual capacity.";positive
thank you charles blow !  you have laid bare the bigotry that underlies trumpism, and it's a sad development in our supposedly advanced modern society.;positive
you left yourself out of the many things the donald has made great again, ms. dowd.;negative
 amid all the nonsense about healthcare - death panels, the mandate, market forces - at least mr. douthat acknowledges that this should be a conversation about saving lives.;neutral
i think i will follow david brook's lead in how i comment from now on.;positive
  sure, humans will likely survive, perhaps because of the technological gains mr. stephens hopes (prays? <br/><br/>if mr. stephens' generation (of which i am part) could view that world in a crystal ball -- coming much sooner than mr. stephens grasps -- that generation would believe that, yes, an apocalypse did, in fact, occur.   does mr. stephens believe that the destruction of the great barrier reef is a hoax?   <br/><br/>mr. stephens seems to think these concepts are identical.;neutral
  what i would like david to do is analyze the package of lies that many voters now accept as true.;neutral
"following on kristof's timely column, worth review: ""what's in you?";neutral
the most sickening aspect of the speech, to me, was that which all the commentators, including mr. bruni are lauding, mr.;neutral
  brooks suggests that social media, along with enabling technology, might be to blame.;neutral
 frank, you are in my prayers. no one, absolutely no one, writes with bruni's flair.;positive
"""<br/><br/>charles: the people are also a real check on his power and raging ego.";neutral
  the wall street journal leans conservative, but it is not the fox news channel that the new york times and mr. leonhardt would want you to believe.;neutral
i think ross douthat is oversimplifying this, as if “trump supporters” are some monolithic group nostalgic for an imagined “heroic (christian) narrative” of our country’s past.;negative
as professor krugman well knows, steel is one of those commodities where the price per ton drops as you produce more to maximize the efficiency of your plant.;neutral
thank you, mr blow, for having the courage to avoid the sugar-coating and for telling it like it is.;positive
  get real mr. brooks the nra actually profits from gun violence.;negative
does mr. brooks even know that don the con is proposing a budget that would cut the funding for combating the opiod crisis?;positive
<br/><br/>thank you, david;positive
 <br/><br/>douthat enables every step of the way as he will until coups and slaughters.;neutral
 i applaud douthat for throwing caution to the wind and trying out this thought experiment.  and given how blindly and stubbornly conservatives have hung onto their market myths, i will give douthat credit for throwing them out the window, in order to speculate about what measures we might take once we finally give up the delusion of trickle-down economics.;positive
regarding mr. trump and the media in mr. douthat’s op-ed jan.;neutral
